code,best_description,sources_available
P0309,Cylinder 9 Misfire Detected,"autoxuga,fieldlogix,gist,klavkarr"
P0310,Cylinder 10 Misfire Detected,"autoxuga,fieldlogix,gist,klavkarr"
P0311,Cylinder 11 Misfire Detected,"autoxuga,fieldlogix,gist,klavkarr"
P0312,Cylinder 12 Misfire Detected,"autoxuga,fieldlogix,gist,klavkarr"
P0313,Misfire Detected with Low Fuel,"autoxuga,fieldlogix,gist,klavkarr"
P0314,Single Cylinder Misfire (Cylinder not Specified),"autoxuga,fieldlogix,gist,klavkarr"
P0315,Crankshaft Position System Variation Not Learned,"autoxuga,fieldlogix,gist,klavkarr"
P0316,Misfire Detected On Startup (First 1000 Revolutions),"autoxuga,fieldlogix,gist,klavkarr"
P0317,Rough Road Hardware Not Present,"autoxuga,fieldlogix,gist,klavkarr"
P0318,Rough Road Sensor A Signal Circuit,"autoxuga,fieldlogix,gist,klavkarr"
P0319,Rough Road Sensor B Signal Circuit,"autoxuga,fieldlogix,gist,klavkarr"
P0320,Ignition/Distributor Engine Speed Input Circuit Malfunction,"autoxuga,fieldlogix,gist,klavkarr"
P0321,Ignition/Distributor Engine Speed Input Circuit Range/Performance,"autoxuga,fieldlogix,gist,klavkarr"
P0322,Ignition/Distributor Engine Speed Input Circuit No Signal,"autoxuga,fieldlogix,gist,klavkarr"
P0323,Ignition/Distributor Engine Speed Input Circuit Intermittent,"autoxuga,fieldlogix,gist,klavkarr"
P0324,Single Cylinder Misfire (Cylinder not Specified),"autoxuga,fieldlogix,gist,klavkarr"
P0325,Knock Sensor 1 Circuit (Bank 2 or Single Sensor),"autoxuga,fieldlogix,gist,klavkarr"
P0326,Knock Sensor 1 Circuit Range/Performance (Bank 2 or Single Sensor),"autoxuga,fieldlogix,gist,klavkarr"
P0327,Knock Sensor 1 Circuit low Input (Bank 2 or Single Sensor),"autoxuga,fieldlogix,gist,klavkarr"
P0328,Knock Sensor 1 Circuit High Input (Bank 2 or Single Sensor),"autoxuga,fieldlogix,gist,klavkarr"
P0329,Knock Sensor 1 Circuit Input Intermittent (Bank 2 or Single Sensor),"autoxuga,fieldlogix,gist,klavkarr"
P0330,Knock Sensor 2 Circuit (Bank 2),"autoxuga,fieldlogix,gist,klavkarr"
P0331,Knock Sensor 2 Circuit Range/Performance (Bank 2),"autoxuga,fieldlogix,gist,klavkarr"
P0332,Knock Sensor 2 Circuit Low Input (Bank 2),"autoxuga,fieldlogix,gist,klavkarr"
P0333,Knock Sensor 2 Circuit High Input (Bank 2),"autoxuga,fieldlogix,gist,klavkarr"
P0334,Knock Sensor 2 Circuit Input Intermittent (Bank 2),"autoxuga,fieldlogix,gist,klavkarr"
P0335,Crankshaft Position Sensor A Circuit Malfunction,"autoxuga,fieldlogix,gist,klavkarr"
P0336,Crankshaft Position Sensor A Circuit Range/Performance,"autoxuga,fieldlogix,gist,klavkarr"
P0337,Crankshaft Position Sensor A Circuit Low Input,"autoxuga,fieldlogix,gist,klavkarr"
P0338,Crankshaft Position Sensor A Circuit High Input,"autoxuga,fieldlogix,gist,klavkarr"
P0339,Crankshaft Position Sensor A Circuit Intermittent,"autoxuga,fieldlogix,gist,klavkarr"
P0340,Camshaft Position Sensor Circuit Malfunction,"autoxuga,fieldlogix,gist,klavkarr"
P0341,Camshaft Position Sensor Circuit Range/Performance,"autoxuga,fieldlogix,gist,klavkarr"
P0342,Camshaft Position Sensor Circuit Low Input,"autoxuga,fieldlogix,gist,klavkarr"
P0343,Camshaft Position Sensor Circuit High Input,"autoxuga,fieldlogix,gist,klavkarr"
P0344,Camshaft Position Sensor Circuit Intermittent,"autoxuga,fieldlogix,gist,klavkarr"
P0345,Camshaft Position Sensor A Circuit (Bank 2),"autoxuga,fieldlogix,gist,klavkarr"
P0346,Camshaft Position Sensor A Circuit Range/Performance (Bank 2),"autoxuga,fieldlogix,gist,klavkarr"
P0347,Camshaft Position Sensor A Circuit Low Input (Bank 2),"autoxuga,fieldlogix,gist,klavkarr"
P0348,Camshaft Position Sensor A Circuit High Input (Bank 2),"autoxuga,fieldlogix,gist,klavkarr"
P0349,Camshaft Position Sensor A Circuit Intermittent (Bank 2),"autoxuga,fieldlogix,gist,klavkarr"
P0350,Ignition Coil Primary/Secondary Circuit Malfunction,"autoxuga,fieldlogix,gist,klavkarr"
P0351,Ignition Coil A Primary/Secondary Circuit Malfunction,"autoxuga,fieldlogix,gist,klavkarr"
P0352,Ignition Coil B Primary/Secondary Circuit Malfunction,"autoxuga,fieldlogix,gist,klavkarr"
P0353,Ignition Coil C Primary/Secondary Circuit Malfunction,"autoxuga,fieldlogix,gist,klavkarr"
P0354,Ignition Coil D Primary/Secondary Circuit Malfunction,"autoxuga,fieldlogix,gist,klavkarr"
P0355,Ignition Coil E Primary/Secondary Circuit Malfunction,"autoxuga,fieldlogix,gist,klavkarr"
P0356,Ignition Coil F Primary/Secondary Circuit Malfunction,"autoxuga,fieldlogix,gist,klavkarr"
P0357,Ignition Coil G Primary/Secondary Circuit Malfunction,"autoxuga,fieldlogix,gist,klavkarr"
P0358,Ignition Coil H Primary/Secondary Circuit Malfunction,"autoxuga,fieldlogix,gist,klavkarr"
P0359,Ignition Coil I Primary/Secondary Circuit Malfunction,"autoxuga,fieldlogix,gist,klavkarr"
P0360,Ignition Coil J Primary/Secondary Circuit Malfunction,"autoxuga,fieldlogix,gist,klavkarr"
P0361,Ignition Coil K Primary/Secondary Circuit Malfunction,"autoxuga,fieldlogix,gist,klavkarr"
P0362,Ignition Coil L Primary/Secondary Circuit Malfunction,"autoxuga,fieldlogix,gist,klavkarr"
P0363,Misfire Detected - Fueling Disabled,"autoxuga,fieldlogix,gist,klavkarr"
P0364,Ignition Coil L Primary/Secondary Circuit,"fieldlogix,gist,klavkarr"
P0365,Camshaft Position Sensor B Circuit (Bank 2),"autoxuga,fieldlogix,gist,klavkarr"
P0366,Camshaft Position Sensor B Circuit Range/Performance (Bank 2),"autoxuga,fieldlogix,gist,klavkarr"
P0367,Camshaft Position Sensor B Circuit Low Input (Bank 2),"autoxuga,fieldlogix,gist,klavkarr"
P0368,Camshaft Position Sensor B Circuit High Input (Bank 2),"autoxuga,fieldlogix,gist,klavkarr"
P0369,Camshaft Position Sensor B Circuit Intermittent (Bank 2),"autoxuga,fieldlogix,gist,klavkarr"
P0370,Timing Reference High Resolution Signal A Malfunction,"autoxuga,fieldlogix,gist,klavkarr"
P0371,Timing Reference High Resolution Signal A Too Many Pulses,"autoxuga,fieldlogix,gist,klavkarr"
P0372,Timing Reference High Resolution Signal A Too Few Pulses,"autoxuga,fieldlogix,gist,klavkarr"
P0373,Timing Reference High Resolution Signal A Intermittent/Erratic Pulses,"autoxuga,fieldlogix,gist,klavkarr"
P0374,Timing Reference High Resolution Signal A No Pulses,"autoxuga,fieldlogix,gist,klavkarr"
P0375,Timing Reference High Resolution Signal B Malfunction,"autoxuga,fieldlogix,gist,klavkarr"
P0376,Timing Reference High Resolution Signal B Too Many Pulses,"autoxuga,fieldlogix,gist,klavkarr"
P0377,Timing Reference High Resolution Signal B Too Few Pulses,"autoxuga,fieldlogix,gist,klavkarr"
P0378,Timing Reference High Resolution Signal B Intermittent/Erratic Pulses,"autoxuga,fieldlogix,gist,klavkarr"
P0379,Timing Reference High Resolution Signal B No Pulses,"autoxuga,fieldlogix,gist,klavkarr"
P0380,Glow Plug/Heater Circuit A Malfunction More details...,"autoxuga,fieldlogix,gist,klavkarr"
P0381,Glow Plug/Heater Indicator Circuit Malfunction,"autoxuga,fieldlogix,gist,klavkarr"
P0382,Glow Plug/Heater Circuit B Malfunction,"autoxuga,fieldlogix,gist,klavkarr"
P0383,Glow Plug/Heater Indicator Circuit,"fieldlogix,gist,klavkarr"
P0384,Glow Plug/Heater Circuit B,"fieldlogix,gist,klavkarr"
P0385,Crankshaft Position Sensor B Circuit Malfunction,"autoxuga,fieldlogix,gist,klavkarr"
P0386,Crankshaft Position Sensor B Circuit Range/Performance,"autoxuga,fieldlogix,gist,klavkarr"
P0387,Crankshaft Position Sensor B Circuit Low Input,"autoxuga,fieldlogix,gist,klavkarr"
P0388,Crankshaft Position Sensor B Circuit High Input,"autoxuga,fieldlogix,gist,klavkarr"
P0389,Crankshaft Position Sensor B Circuit Intermittent,"autoxuga,fieldlogix,gist,klavkarr"
P0390,Camshaft Position Sensor B Circuit (Bank 2),"autoxuga,fieldlogix,gist,klavkarr"
P0391,Camshaft Position Sensor B Circuit Range/Performance (Bank 2),"autoxuga,fieldlogix,gist,klavkarr"
P0392,Camshaft Position Sensor B Circuit Low Input (Bank 2),"autoxuga,fieldlogix,gist,klavkarr"
P0393,Camshaft Position Sensor B Circuit High Input (Bank 2),"autoxuga,fieldlogix,gist,klavkarr"
P0394,Camshaft Position Sensor B Circuit Intermittent (Bank 2),"autoxuga,fieldlogix,gist,klavkarr"
P0395,Camshaft Position Sensor B Circuit High Input (Bank 2),"fieldlogix,gist,klavkarr"
P0396,Camshaft Position Sensor B Circuit Intermittent (Bank 2),"fieldlogix,gist,klavkarr"
P0397,,klavkarr
P0398,,klavkarr
P0399,,klavkarr
P0400,Exhaust Gas Recirculation Flow Malfunction,"autoxuga,fieldlogix,gist,klavkarr"
P0401,Exhaust Gas Recirculation Flow Insufficient Detected,"autoxuga,fieldlogix,gist,klavkarr"
P0402,Exhaust Gas Recirculation Flow Excessive Detected,"autoxuga,fieldlogix,gist,klavkarr"
P0403,Exhaust Gas Recirculation Circuit Malfunction,"autoxuga,fieldlogix,gist,klavkarr"
P0404,Exhaust Gas Recirculation Circuit Range/Performance,"autoxuga,fieldlogix,gist,klavkarr"
P0405,Exhaust Gas Recirculation Sensor A Circuit Low,"autoxuga,fieldlogix,gist,klavkarr"
P0406,Exhaust Gas Recirculation Sensor A Circuit High,"autoxuga,fieldlogix,gist,klavkarr"
P0407,Exhaust Gas Recirculation Sensor B Circuit Low,"autoxuga,fieldlogix,gist,klavkarr"
P0408,Exhaust Gas Recirculation Sensor B Circuit High,"autoxuga,fieldlogix,gist,klavkarr"
P0409,Exhaust Gas Recirculation Sensor A Circuit,"autoxuga,fieldlogix,gist,klavkarr"
P0410,Secondary Air Injection System Malfunction,"autoxuga,fieldlogix,gist,klavkarr"
P0411,Secondary Air Injection System Incorrect Flow Detected,"autoxuga,fieldlogix,gist,klavkarr"
P0412,Secondary Air Injection System Switching Valve A Circuit Malfunction,"autoxuga,fieldlogix,gist,klavkarr"
P0413,Secondary Air Injection System Switching Valve A Circuit Open,"autoxuga,fieldlogix,gist,klavkarr"
P0414,Secondary Air Injection System Switching Valve A Circuit Shorted,"autoxuga,fieldlogix,gist,klavkarr"
P0415,Secondary Air Injection System Switching Valve B Circuit Malfunction,"autoxuga,fieldlogix,gist,klavkarr"
P0416,Secondary Air Injection System Switching Valve B Circuit Open,"autoxuga,fieldlogix,gist,klavkarr"
P0417,Secondary Air Injection System Switching Valve B Circuit Shorted,"autoxuga,fieldlogix,gist,klavkarr"
P0418,Secondary Air Injection System Relay A circuit Malfunction,"autoxuga,fieldlogix,gist,klavkarr"
P0419,Secondary Air Injection System Relay B Circuit Malfunction,"autoxuga,fieldlogix,gist,klavkarr"
P0420,Catalyst System Efficiency Below Threshold (Bank 1),"autoxuga,fieldlogix,gist,klavkarr"
P0421,Warm Up Catalyst Efficiency Below Threshold (Bank 1),"autoxuga,fieldlogix,gist,klavkarr"
P0422,Main Catalyst Efficiency Below Threshold (Bank 1),"autoxuga,fieldlogix,gist,klavkarr"
P0423,Heated Catalyst Efficiency Below Threshold (Bank 1),"autoxuga,fieldlogix,gist,klavkarr"
P0424,Heated Catalyst Temperature Below Threshold (Bank 1),"autoxuga,fieldlogix,gist,klavkarr"
P0425,Catalyst Temperature Sensor (Bank 1 Sensor 1),"autoxuga,fieldlogix,gist,klavkarr"
P0426,Catalyst Temperature Sensor Range/Performance (Bank 1 Sensor 1),"autoxuga,fieldlogix,gist,klavkarr"
P0427,Catalyst Temperature Sensor Low Input (Bank 1 Sensor 1),"autoxuga,fieldlogix,gist,klavkarr"
P0428,Catalyst Temperature Sensor High Input (Bank 1 Sensor 1),"autoxuga,fieldlogix,gist,klavkarr"
P0429,Catalyst Heater Control Circuit (Bank 1),"autoxuga,fieldlogix,gist,klavkarr"
P0430,Catalyst System Efficiency Below Threshold (Bank 2),"autoxuga,fieldlogix,gist,klavkarr"
P0431,Warm Up Catalyst Efficiency Below Threshold (Bank 2),"autoxuga,fieldlogix,gist,klavkarr"
P0432,Main Catalyst Efficiency Below Threshold (Bank 2),"autoxuga,fieldlogix,gist,klavkarr"
P0433,Heated Catalyst Efficiency Below Threshold (Bank 2),"autoxuga,fieldlogix,gist,klavkarr"
P0434,Heated Catalyst Temperature Below Threshold (Bank 2),"autoxuga,fieldlogix,gist,klavkarr"
P0435,Catalyst Temperature Sensor (Bank 2 Sensor 1),"autoxuga,fieldlogix,gist,klavkarr"
P0436,Catalyst Temperature Sensor Range/Performance (Bank 2 Sensor 1),"autoxuga,fieldlogix,gist,klavkarr"
P0437,Catalyst Temperature Sensor Low Input (Bank 2 Sensor 1),"autoxuga,fieldlogix,gist,klavkarr"
P0438,Catalyst Temperature Sensor High Input (Bank 2 Sensor 1),"autoxuga,fieldlogix,gist,klavkarr"
P0439,Catalyst Heater Control Circuit (Bank 2),"autoxuga,fieldlogix,gist,klavkarr"
P0440,Evaporative Emission Control System Malfunction,"autoxuga,fieldlogix,gist,klavkarr"
P0441,Evaporative Emission Control System Incorrect Purge flow,"autoxuga,fieldlogix,gist,klavkarr"
P0442,Evaporative Emission Control System leak Detected (small leak),"autoxuga,fieldlogix,gist,klavkarr"
P0443,Evaporative Emission Control System Purge Control Valve circuit Malfunction,"autoxuga,fieldlogix,gist,klavkarr"
P0444,Evaporative Emission Control System Purge Control Valve Circuit Open,"autoxuga,fieldlogix,gist,klavkarr"
P0445,Evaporative Emission Control System Purge Control Valve Circuit Shorted,"autoxuga,fieldlogix,gist,klavkarr"
P0446,Evaporative Emission Control System Vent Control Circuit Malfunction,"autoxuga,fieldlogix,gist,klavkarr"
P0447,Evaporative Emission Control System Vent Control Circuit Open,"autoxuga,fieldlogix,gist,klavkarr"
P0448,Evaporative Emission Control System Vent Control Circuit Shorted,"autoxuga,fieldlogix,gist,klavkarr"
P0449,Evaporative Emission Control System Vent Valve/Solenoid Circuit Malfunction,"autoxuga,fieldlogix,gist,klavkarr"
P0450,Sensor presion emisiones evaporacion - circuito defectuoso,autoxuga
P0451,"Sensor presion emisiones evaporacion - rango,funcionamiento",autoxuga
P0452,- Evaporative Emission Control System Pressure Sensor Low Input,"autoxuga,fieldlogix,gist"
P0453,Sensor presion emisiones evaporacion - señal alta,"autoxuga,fieldlogix"
P0454,Sensor presion emisiones evaporacion - interrupcion intermitente,autoxuga
P0455,System Gross Leak Evaporative Emission,"autoxuga,fieldlogix,gist"
P0456,Evaporative Emissions System Small Leak Detected,"autoxuga,fieldlogix,gist"
P0457,Evaporative Emission Control System Leak Detected,"autoxuga,fieldlogix,gist"
P0458,Valvula control emisiones evaporacion - señal baja,autoxuga
P0460,Evaporative Emission Control System Pressure Sensor Malfunction / Fuel Level Sensor Circuit Malfunction,"autoxuga,fieldlogix,gist,klavkarr"
P0461,Evaporative Emission Control System Pressure Sensor Range/Performance / Fuel Level Sensor Circuit Range/Performance,"autoxuga,fieldlogix,gist,klavkarr"
P0462,Evaporative Emission Control System Pressure Sensor Low Input / Fuel Level Sensor Circuit Low Input,"autoxuga,fieldlogix,gist,klavkarr"
P0463,Evaporative Emission Control System Pressure Sensor High Input / Fuel Level Sensor Circuit High Input,"autoxuga,fieldlogix,gist,klavkarr"
P0464,Evaporative Emission Control System Pressure Sensor Intermittent / Fuel Level Sensor Circuit Intermittent,"autoxuga,fieldlogix,gist,klavkarr"
P0465,Evaporative Emission Control System Tank Detected (gross leak) / Purge Flow Sensor Circuit Malfunction,"autoxuga,fieldlogix,gist,klavkarr"
P0466,Evaporative Emission System Leak Detected (very small leak) / Purge Flow Sensor Circuit Range/Performance,"autoxuga,fieldlogix,gist,klavkarr"
P0467,Evaporative Emission System Leak Detected (fuel cap loose/off) / Purge Flow Sensor Circuit Low Input,"autoxuga,fieldlogix,gist,klavkarr"
P0468,Evaporative Emission System Purge Control Valve Circuit Low / Purge Flow Sensor Circuit High Input,"autoxuga,fieldlogix,gist,klavkarr"
P0469,Evaporative Emission System Purge Control Valve Circuit High / Purge Flow Sensor Circuit Intermittent,"autoxuga,fieldlogix,gist,klavkarr"
P0470,Exhaust Pressure Sensor Malfunction,"autoxuga,fieldlogix,gist,klavkarr"
P0471,Exhaust Pressure Sensor Range/Performance,"autoxuga,fieldlogix,gist,klavkarr"
P0472,Exhaust Pressure Sensor Low,"autoxuga,fieldlogix,gist,klavkarr"
P0473,Exhaust Pressure Sensor High,"autoxuga,fieldlogix,gist,klavkarr"
P0474,Exhaust Pressure Sensor Intermittent,"autoxuga,fieldlogix,gist,klavkarr"
P0475,Exhaust Pressure Control Valve Malfunction,"autoxuga,fieldlogix,gist,klavkarr"
P0476,Exhaust Pressure Control Valve Range/Performance,"autoxuga,fieldlogix,gist,klavkarr"
P0477,Exhaust Pressure Control Valve Low,"autoxuga,fieldlogix,gist,klavkarr"
P0478,Exhaust Pressure Control Valve High,"autoxuga,fieldlogix,gist,klavkarr"
P0479,Exhaust Pressure Control Valve Intermittent,"autoxuga,fieldlogix,gist,klavkarr"
P0480,Cooling Fan 1 Control Circuit Malfunction,"autoxuga,fieldlogix,gist,klavkarr"
P0481,Cooling Fan 2 Control Circuit Malfunction,"autoxuga,fieldlogix,gist,klavkarr"
P0482,Cooling Fan 3 Control Circuit Malfunction,"autoxuga,fieldlogix,gist,klavkarr"
P0483,Cooling Fan Rationality Check Malfunction,"autoxuga,fieldlogix,gist,klavkarr"
P0484,Cooling Fan Circuit Over Current,"autoxuga,fieldlogix,gist,klavkarr"
P0485,Cooling Fan Power/Ground Circuit Malfunction,"autoxuga,fieldlogix,gist,klavkarr"
P0486,Exhaust Gas Recirculation Sensor B Circuit,"autoxuga,fieldlogix,gist,klavkarr"
P0487,Exhaust Gas Recirculation Throttle Position Control Circuit,"autoxuga,fieldlogix,gist,klavkarr"
P0488,Exhaust Gas Recirculation Throttle Position Control Range/Performance,"autoxuga,fieldlogix,gist,klavkarr"
P0489,Exhaust Gas Recirculation Control Circuit Low,"autoxuga,fieldlogix,gist,klavkarr"
P0490,Exhaust Gas Recirculation Control Circuit Low,"autoxuga,fieldlogix,gist,klavkarr"
P0491,Secondary Air Injection System (Bank 2),"autoxuga,fieldlogix,gist,klavkarr"
P0492,Secondary Air Injection System (Bank 2),"autoxuga,fieldlogix,gist,klavkarr"
P0493,Fan Overspeed (clutch locked),"autoxuga,fieldlogix,gist,klavkarr"
P0494,Fan Speed Low,"autoxuga,fieldlogix,gist,klavkarr"
P0495,Fan Speed High,"autoxuga,fieldlogix,gist,klavkarr"
P0496,Evaporative Emission System High Purge Flow,"autoxuga,fieldlogix,gist,klavkarr"
P0497,Evaporative Emission System Low Purge Flow,"autoxuga,fieldlogix,gist,klavkarr"
P0498,Evaporative Emission System Vent Control Circuit Low,"autoxuga,fieldlogix,gist,klavkarr"
P0499,Evaporative Emission System Vent Control Circuit High,"autoxuga,fieldlogix,gist,klavkarr"
P0500,Vehicle Speed Sensor Malfunction,"autoxuga,fieldlogix,gist,klavkarr"
P0501,Vehicle Speed Sensor Range/Performance,"autoxuga,fieldlogix,gist,klavkarr"
P0502,Vehicle Speed Sensor Circuit Low Input,"autoxuga,fieldlogix,gist,klavkarr"
P0503,Vehicle Speed Sensor Intermittent/Erratic/High,"autoxuga,fieldlogix,gist,klavkarr"
P0504,Brake Switch A / B Correlation,"autoxuga,fieldlogix,gist,klavkarr"
P0505,Idle Control System Malfunction,"autoxuga,fieldlogix,gist,klavkarr"
P0506,Idle Control System RPM lower Than Expected,"autoxuga,fieldlogix,gist,klavkarr"
P0507,Idle Control System RPM higher Than Expected,"autoxuga,fieldlogix,gist,klavkarr"
P0508,Idle Air Control System Circuit Low,"autoxuga,fieldlogix,gist,klavkarr"
P0509,Idle Air Control System Circuit High,"autoxuga,fieldlogix,gist,klavkarr"
P050D,Cold Start Rough Idle,fieldlogix
P0510,Closed Throttle Position Switch Malfunction,"autoxuga,fieldlogix,gist,klavkarr"
P0511,Idle Air Control Circuit,"autoxuga,fieldlogix,gist,klavkarr"
P0512,Starter Request Circuit,"autoxuga,fieldlogix,gist,klavkarr"
P0513,Incorrect Immobilizer Key,"autoxuga,fieldlogix,gist,klavkarr"
P0514,Battery Temperature Sensor Circuit Range/Performance,"autoxuga,fieldlogix,gist,klavkarr"
P0515,Battery Temperature Sensor Circuit,"autoxuga,fieldlogix,gist,klavkarr"
P0516,Battery Temperature Sensor Circuit Low,"autoxuga,fieldlogix,gist,klavkarr"
P0517,Battery Temperature Sensor Circuit High,"autoxuga,fieldlogix,gist,klavkarr"
P0518,Idle Air Control Circuit Intermittent,"autoxuga,fieldlogix,gist,klavkarr"
P0519,Idle Air Control Circuit System Performance,"autoxuga,fieldlogix,gist,klavkarr"
P051B,Crankcase Pressure Sensor Circuit Range/Performance,"fieldlogix,gist"
P0520,Engine Oil Pressure Sensor/Switch Circuit Malfunction,"autoxuga,fieldlogix,gist,klavkarr"
P0521,Engine Oil Pressure Sensor/Switch Range/Performance,"autoxuga,fieldlogix,gist,klavkarr"
P0522,Engine Oil Pressure Sensor/Switch Low Voltage,"autoxuga,fieldlogix,gist,klavkarr"
P0523,Engine Oil Pressure Sensor/Switch High Voltage,"autoxuga,fieldlogix,gist,klavkarr"
P0524,Engine Oil Pressure Too Low,"autoxuga,fieldlogix,gist,klavkarr"
P0525,Cruise Control Servo Control Circuit Range/Performance,"autoxuga,fieldlogix,gist,klavkarr"
P0526,Fan Speed Sensor Circuit,"autoxuga,fieldlogix,gist,klavkarr"
P0527,Fan Speed Sensor Circuit Range/Performance,"autoxuga,fieldlogix,gist,klavkarr"
P0528,Fan Speed Sensor Circuit No Signal,"autoxuga,fieldlogix,gist,klavkarr"
P0529,Fan Speed Sensor Circuit Intermittent,"fieldlogix,gist,klavkarr"
P0530,A/C Refrigerant Pressure Sensor Circuit Malfunction,"autoxuga,fieldlogix,gist,klavkarr"
P0531,A/C Refrigerant Pressure Sensor Circuit Range/Performance,"autoxuga,fieldlogix,gist,klavkarr"
P0532,A/C Refrigerant Pressure Sensor Circuit Low Input,"autoxuga,fieldlogix,gist,klavkarr"
P0533,A/C Refrigerant pressure Sensor Circuit High Input,"autoxuga,fieldlogix,gist,klavkarr"
P0534,Air Conditioner Refrigerant Charge Loss,"autoxuga,fieldlogix,gist,klavkarr"
P0535,A/C Evaporator Temperature Sensor Circuit,"autoxuga,fieldlogix,gist,klavkarr"
P0536,A/C Evaporator Temperature Sensor Circuit Range/Performance,"autoxuga,fieldlogix,gist,klavkarr"
P0537,A/C Evaporator Temperature Sensor Circuit Low,"autoxuga,fieldlogix,gist,klavkarr"
P0538,A/C Evaporator Temperature Sensor Circuit High,"autoxuga,fieldlogix,gist,klavkarr"
P0539,A/C Evaporator Temperature Sensor Circuit Intermittent,"autoxuga,fieldlogix,gist,klavkarr"
P0540,Intake Air Heater A Circuit,"autoxuga,fieldlogix,gist,klavkarr"
P0541,Intake Air Heater A Circuit Low,"autoxuga,fieldlogix,gist,klavkarr"
P0542,Intake Air Heater A Circuit High,"autoxuga,fieldlogix,gist,klavkarr"
P0543,Intake Air Heater A Circuit Open,"autoxuga,fieldlogix,gist,klavkarr"
P0544,Exhaust Gas Temperature Sensor Circuit - Bank 2 Sensor 1,"autoxuga,fieldlogix,gist,klavkarr"
P0545,Exhaust Gas Temperature Sensor Circuit Low - Bank 2 Sensor 1,"autoxuga,fieldlogix,gist,klavkarr"
P0546,Exhaust Gas Temperature Sensor Circuit High - Bank 2 Sensor 1,"autoxuga,fieldlogix,gist,klavkarr"
P0547,Exhaust Gas Temperature Sensor Circuit - Bank 2 Sensor 1,"autoxuga,fieldlogix,gist,klavkarr"
P0548,Exhaust Gas Temperature Sensor Circuit Low - Bank 2 Sensor 1,"autoxuga,fieldlogix,gist,klavkarr"
P0549,Exhaust Gas Temperature Sensor Circuit High - Bank 2 Sensor 1,"autoxuga,fieldlogix,gist,klavkarr"
P0550,Power Steering Pressure Sensor Circuit Malfunction,"autoxuga,fieldlogix,gist,klavkarr"
P0551,Power Steering Pressure Sensor Circuit Range/Performance,"autoxuga,fieldlogix,gist,klavkarr"
P0552,Power Steering Pressure Sensor Circuit Low Input,"autoxuga,fieldlogix,gist,klavkarr"
P0553,Power Steering Pressure Sensor Circuit High Input,"autoxuga,fieldlogix,gist,klavkarr"
P0554,Power Steering Pressure sensor Circuit Intermittent,"autoxuga,fieldlogix,gist,klavkarr"
P0555,Brake Booster Pressure Sensor Circuit,"autoxuga,fieldlogix,gist,klavkarr"
P0556,Brake Booster Pressure Sensor Circuit Range/Performance,"autoxuga,fieldlogix,gist,klavkarr"
P0557,Brake Booster Pressure Sensor Circuit Low Input,"autoxuga,fieldlogix,gist,klavkarr"
P0558,Brake Booster Pressure Sensor Circuit High Input,"autoxuga,fieldlogix,gist,klavkarr"
P0559,Brake Booster Pressure Sensor Circuit Intermittent,"autoxuga,fieldlogix,gist,klavkarr"
P0560,System Voltage Malfunction,"autoxuga,fieldlogix,gist,klavkarr"
P0561,System Voltage Unstable,"autoxuga,fieldlogix,gist,klavkarr"
P0562,System Voltage Low,"autoxuga,fieldlogix,gist,klavkarr"
P0563,System Voltage High,"autoxuga,fieldlogix,gist,klavkarr"
P0564,Cruise Control Multi-Function Input A Circuit,"autoxuga,fieldlogix,gist,klavkarr"
P0565,Cruise Control On Signal Malfunction,"autoxuga,fieldlogix,gist,klavkarr"
P0566,Cruise Control Off Signal Malfunction,"autoxuga,fieldlogix,gist,klavkarr"
P0567,Cruise Control Resume Signal Malfunction,"autoxuga,fieldlogix,gist,klavkarr"
P0568,Cruise Control Set Signal Malfunction,"autoxuga,fieldlogix,gist,klavkarr"
P0569,Cruise Control Coast Signal Malfunction,"autoxuga,fieldlogix,gist,klavkarr"
P0570,Cruise Control Accel Signal Malfunction,"autoxuga,fieldlogix,gist,klavkarr"
P0571,Cruise Control/Brake Switch A Circuit Malfunction,"autoxuga,fieldlogix,gist,klavkarr"
P0572,Cruise Control/Brake Switch A Circuit Low,"autoxuga,fieldlogix,gist,klavkarr"
P0573,Cruise Control/Brake Switch A Circuit High,"autoxuga,fieldlogix,gist,klavkarr"
P0574,Cruise Control System - Vehicle Speed Too High,"autoxuga,fieldlogix,gist,klavkarr"
P0575,Cruise Control Input Circuit,"autoxuga,fieldlogix,gist,klavkarr"
P0576,Cruise Control Input Circuit Low,"autoxuga,fieldlogix,gist,klavkarr"
P0577,Cruise Control Input Circuit High,"autoxuga,fieldlogix,gist,klavkarr"
P0578,Cruise Control Multi-Function Input A Circuit Stuck,"autoxuga,fieldlogix,gist,klavkarr"
P0579,Cruise Control Multi-Function Input A Circuit Range/Performance,"autoxuga,fieldlogix,gist,klavkarr"
P0580,Cruise Control Multi-Function Input A Circuit Low,"autoxuga,fieldlogix,gist,klavkarr"
P0581,Cruise Control Multi-Function Input A Circuit High,"autoxuga,fieldlogix,gist,klavkarr"
P0582,Cruise Control Vacuum Control Circuit /Open,"autoxuga,fieldlogix,gist,klavkarr"
P0583,Cruise Control Vacuum Control Circuit Low,"autoxuga,fieldlogix,gist,klavkarr"
P0584,Cruise Control Vacuum Control Circuit High,"autoxuga,fieldlogix,gist,klavkarr"
P0585,Cruise Control Multi-Function Input A / B Correlation,"autoxuga,fieldlogix,gist,klavkarr"
P0586,Cruise Control Vent Control Circuit / Open,"autoxuga,fieldlogix,gist,klavkarr"
